==> initializing monitor ...
==> initializing trainer ...
You are using a CUDA device ('NVIDIA L40S') that has Tensor Cores. To properly utilize them, you should set `torch.set_float32_matmul_precision('medium' | 'high')` which will trade-off precision for performance. For more details, read https://pytorch.org/docs/stable/generated/torch.set_float32_matmul_precision.html#torch.set_float32_matmul_precision
Epoch 0:  20%|▏| 103/512.0 [00:02<00:09, 42.07it/s, loss=0.102, v_num=h14p, train/recon_loss=0.101, train/latent_reg=0.000, train/total_loss=0.101, train/psnr=9.21Le torch.Size([32748, 3])
Epoch 0:  20%|▏| 104/512.0 [00:02<00:09, 42.14it/s, loss=0.102, v_num=h14p, train/recon_loss=0.102, train/latent_reg=0.000, train/total_loss=0.102, train/psnr=9.18Le torch.Size([32749, 3])
Epoch 0:  21%|▏| 105/512.0 [00:02<00:09, 42.21it/s, loss=0.102, v_num=h14p, train/recon_loss=0.101, train/latent_reg=0.000, train/total_loss=0.101, train/psnr=9.21Le torch.Size([32741, 3])
Epoch 0:  21%|▏| 106/512.0 [00:02<00:09, 42.27it/s, loss=0.102, v_num=h14p, train/recon_loss=0.102, train/latent_reg=0.000, train/total_loss=0.102, train/psnr=9.19Le torch.Size([32755, 3])
Epoch 0:  21%|▏| 107/512.0 [00:02<00:09, 42.34it/s, loss=0.102, v_num=h14p, train/recon_loss=0.102, train/latent_reg=0.000, train/total_loss=0.102, train/psnr=9.19Le torch.Size([32749, 3])
Epoch 0:  21%|▏| 108/512.0 [00:02<00:09, 42.40it/s, loss=0.102, v_num=h14p, train/recon_loss=0.102, train/latent_reg=0.000, train/total_loss=0.102, train/psnr=9.17Le torch.Size([32751, 3])
Epoch 0:  21%|▏| 109/512.0 [00:02<00:09, 42.46it/s, loss=0.102, v_num=h14p, train/recon_loss=0.101, train/latent_reg=0.000, train/total_loss=0.101, train/psnr=9.22Le torch.Size([32751, 3])
Epoch 0:  21%|▏| 110/512.0 [00:02<00:09, 42.52it/s, loss=0.102, v_num=h14p, train/recon_loss=0.102, train/latent_reg=0.000, train/total_loss=0.102, train/psnr=9.20Le torch.Size([32752, 3])
Epoch 0:  22%|▏| 111/512.0 [00:02<00:09, 42.58it/s, loss=0.102, v_num=h14p, train/recon_loss=0.101, train/latent_reg=0.000, train/total_loss=0.101, train/psnr=9.20Le torch.Size([32757, 3])
Epoch 0:  22%|▏| 112/512.0 [00:02<00:09, 42.63it/s, loss=0.102, v_num=h14p, train/recon_loss=0.102, train/latent_reg=0.000, train/total_loss=0.102, train/psnr=9.20Le torch.Size([32754, 3])
Epoch 0:  22%|▏| 113/512.0 [00:02<00:09, 42.69it/s, loss=0.102, v_num=h14p, train/recon_loss=0.101, train/latent_reg=0.000, train/total_loss=0.101, train/psnr=9.20Le torch.Size([32746, 3])
Epoch 0:  22%|▏| 114/512.0 [00:02<00:09, 42.74it/s, loss=0.102, v_num=h14p, train/recon_loss=0.102, train/latent_reg=0.000, train/total_loss=0.102, train/psnr=9.19Le torch.Size([32752, 3])
Epoch 0:  22%|▏| 115/512.0 [00:02<00:09, 42.80it/s, loss=0.102, v_num=h14p, train/recon_loss=0.101, train/latent_reg=0.000, train/total_loss=0.101, train/psnr=9.20Le torch.Size([32748, 3])
Epoch 0:  23%|▏| 116/512.0 [00:02<00:09, 42.86it/s, loss=0.102, v_num=h14p, train/recon_loss=0.101, train/latent_reg=0.000, train/total_loss=0.101, train/psnr=9.22Le torch.Size([32749, 3])
Epoch 0:  23%|▏| 117/512.0 [00:02<00:09, 42.91it/s, loss=0.102, v_num=h14p, train/recon_loss=0.101, train/latent_reg=0.000, train/total_loss=0.101, train/psnr=9.20Le torch.Size([32748, 3])
